shelter_name,region,count,long_term,adopted,species,image_url,care_reg_no,careAddr,lat,lon
스마일동물병원,울산광역시,13,13.0,3.0,200.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/06/202406281606952.jpg,331370000000000.0,울산광역시 남구 대학로 112 (무거동) ,35.54470683,129.2608786
시흥동물누리보호센터,경기도,41,41.0,10.0,114.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/06/202406291606709.jpg,,경기도 시흥시 뒷방울길 218 (정왕동) ,37.37396885,126.7425423
신공항동물병원,인천광역시,38,38.0,12.0,200.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/06/202406291306180.jpg,328349000000000.0,인천광역시 중구 운남동로3번길 9 (운남동) ,37.48868006,126.5333136
신세계동물병원,대구광역시,11,11.0,7.0,200.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/06/202406171806601.jpg,327346000000000.0,대구광역시 수성구 수성동1가 명덕로 393 (수성동1가) ,35.85474503,128.6131964
신안군유기동물보호소,전라남도,15,15.0,2.0,114.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/06/202406301306645.jpg,,전라남도 무안군 삼향읍 석매길 36  ,34.85347188,126.4314965
신영재동물병원,인천광역시,66,66.0,23.0,200.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/06/202406302206756.jpg,328355000000000.0,인천광역시 계양구 장제로 923 (병방동) ,37.54885895,126.7413786
아산동물복지지원센터,충청남도,105,105.0,36.0,114.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/06/202407021407122[1].jpg,344452000000000.0,충청남도 아산시 환경공원로 158 (배미동) ,36.80058134,126.9775778
안성시동물보호센터,경기도,54,54.0,12.0,114.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/06/202406280906546.jpg,,경기도 안성시 중앙로 431-1 (봉남동) ,37.00659917,127.2747989
양구군유기동물보호소,강원도,12,12.0,5.0,114.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/06/202406281706644.jpg,342432000000000.0,강원도 양구군 국토정중앙면 삼팔선로 680  유기동물보호소,38.05074303,128.0469238
양산시 동물보호센터,경상남도,21,21.0,13.0,114.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/06/202406281806583.jpg,348538000000000.0,경상남도 양산시 동면 양산대로 618  양산시 농업기술센터,35.32391639,129.0333864
양양군유기동물보호소,강원도,4,4.0,1.0,114.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/07/202407241607505.jpg,342435000000000.0,강원도 양양군 손양면 동막골길 115-35  .,38.02046779,128.6434008
양평군유기동물보호소,경기도,12,12.0,2.0,114.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/06/202407011607273.png,,경기도 양평군 양평읍 농업기술센터길 59-1  ,37.51090672,127.5133129
열린동물병원,서울특별시,2,2.0,0.0,89.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/06/202406251706886.jpg,,서울특별시 용산구 원효로2가 84-10,37.53562558,126.9617531
영광동물보호센터,전라남도,5,5.0,1.0,114.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/06/202406251406599.jpg,,전라남도 영광군 불갑면 함영로 2755-48  ,35.20515045,126.494137
영덕유기동물보호센터,경상북도,14,14.0,3.0,114.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/06/202406301906290.jpg,,경상북도 영덕군 영덕읍 구미2길 14-1 (영덕읍) 영덕군유기동물보호센터,36.43573096,129.3576201
영양군유기동물보호소,경상북도,2,2.0,2.0,200.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/06/202406140906193.jpg,,경상북도 영양군 영양읍 달구터길 85  ,36.68783346,129.1132371
